60sec,Bid_Price_Open,Bid_Price_Close,Ask_Price_Open,Ask_Price_Close,Midprice_Open,Midprice_Close,Midprice_Average,Dmid_tick,Spread_tick,VolImb,Trades,Volume,Buy_Trades,Sell_Trades,TFI
69,2240800,2240200,2242500,2241700,2241650.0,2240950.0,2240887.2866894198,-7.0,12.059726962457338,0.11254718146167322,9,727,7,2,0.5555555555555556
70,2240200,2240200,2241700,2241500,2240950.0,2240850.0,2240469.331872946,-1.0,11.761226725082146,-0.019820151535602418,30,2276,15,15,0.0
71,2240200,2241800,2241500,2243300,2240850.0,2242550.0,2241353.703703704,17.0,11.948148148148148,-0.11281038410816982,35,3005,20,15,0.14285714285714285
72,2241800,2242500,2243300,2243900,2242550.0,2243200.0,2243057.715430862,6.5,13.202404809619239,-0.1744803207277133,7,403,4,3,0.14285714285714285
73,2242500,2241500,2243900,2243000,2243200.0,2242250.0,2242660.314685315,-9.5,9.982517482517483,-0.041517191276170935,29,2527,18,11,0.2413793103448276
74,2241500,2241600,2243000,2243500,2242250.0,2242550.0,2242533.5626911316,3.0,14.267584097859327,-0.0901742319540835,26,2000,14,12,0.07692307692307693
75,2241600,2243500,2243500,2244500,2242550.0,2244000.0,2243177.7134587555,14.5,14.205499276410999,-0.1161178538318393,7,471,6,1,0.7142857142857143
76,2243500,2243000,2244500,2244500,2244000.0,2243750.0,2243178.47976308,-2.5,11.808489634748273,-0.002121903042023822,35,2358,14,21,-0.2
77,2243000,2243000,2244500,2243700,2243750.0,2243350.0,2243532.4013157897,-4.0,11.549342105263158,0.03698210074282442,7,303,5,2,0.42857142857142855
78,2243000,2243000,2243700,2243700,2243350.0,2243350.0,2243358.9743589745,0.0,6.0085470085470085,0.06259369490357249,7,116,2,5,-0.42857142857142855
79,2243000,2241700,2243700,2243000,2243350.0,2242350.0,2242671.394230769,-10.0,11.966346153846153,0.11481581633504111,16,739,7,9,-0.125
80,2241600,2242900,2243000,2243700,2242300.0,2243300.0,2242569.6428571427,10.0,12.586134453781513,-0.04440576812276285,10,604,9,1,0.8
81,2242900,2248600,2243700,2249200,2243300.0,2248900.0,2245677.4606299214,56.0,8.108267716535433,-0.20198190055223206,93,6964,83,10,0.7849462365591398
82,2248600,2256200,2249200,2257400,2248900.0,2256800.0,2253358.180535966,79.0,10.650211565585332,-0.2508623635543501,231,18302,196,35,0.696969696969697
83,2256200,2258800,2257400,2259900,2256800.0,2259350.0,2258281.7367601246,25.5,11.320093457943925,-0.2567581168014311,122,6911,108,14,0.7704918032786885
84,2258800,2257300,2259900,2257900,2259350.0,2257600.0,2258466.1096256683,-17.5,10.311497326203208,-0.24519005691644427,40,2788,25,15,0.25
85,2257300,2254800,2257900,2255200,2257600.0,2255000.0,2256315.5380894803,-26.0,9.07496977025393,0.1156738306595789,19,1432,4,15,-0.5789473684210527
86,2254800,2251500,2255200,2252300,2255000.0,2251900.0,2253509.77393617,-31.0,8.950797872340425,0.019270476294029403,38,1969,8,30,-0.5789473684210527
87,2251500,2251300,2252300,2252500,2251900.0,2251900.0,2252690.476190476,0.0,11.333333333333334,-0.03478322793465261,23,1547,14,9,0.21739130434782608
88,2251300,2250300,2252500,2251800,2251900.0,2251050.0,2251290.523560209,-8.5,12.210471204188481,-0.15598971873818254,14,996,5,9,-0.2857142857142857
89,2250300,2251100,2251800,2252000,2251050.0,2251550.0,2251911.596180082,5.0,13.544338335607094,0.007423894215706021,10,538,8,2,0.6
90,2251100,2249700,2252000,2250900,2251550.0,2250300.0,2250768.03633218,-12.5,11.019896193771626,0.08000291635621276,31,1967,7,24,-0.5483870967741935
91,2249700,2250400,2250900,2252200,2250300.0,2251300.0,2251112.0267260578,10.0,15.21380846325167,-0.08803377775476559,13,558,12,1,0.8461538461538461
92,2250400,2246300,2252200,2247600,2251300.0,2246950.0,2248676.288167939,-43.5,12.386450381679388,0.15425221623476604,19,1001,3,16,-0.6842105263157895
93,2246300,2245700,2247500,2246900,2246900.0,2246300.0,2246446.7213114756,-6.0,12.92864030858245,0.4290550924181873,21,1723,12,9,0.14285714285714285
94,2245700,2244100,2246900,2244700,2246300.0,2244400.0,2245521.875,-19.0,14.1171875,0.4882807892900078,4,238,0,4,-1.0
95,2244100,2246800,2244500,2247600,2244300.0,2247200.0,2245940.824337586,29.0,12.610402355250246,0.2941907712975615,12,1213,12,0,1.0
96,2246400,2245500,2247600,2246900,2247000.0,2246200.0,2246336.0977564105,-8.0,13.68349358974359,0.29577216957781816,19,956,8,11,-0.15789473684210525
97,2245500,2246400,2246900,2247600,2246200.0,2247000.0,2246635.3223593966,8.0,13.117969821673526,0.0704995012756112,10,3307,9,1,0.8
98,2246400,2246900,2247600,2248600,2247000.0,2247750.0,2247035.114942529,7.5,11.486206896551725,0.1380605625762993,26,1714,17,9,0.3076923076923077
99,2246900,2245500,2248600,2246400,2247750.0,2245950.0,2246557.484220018,-18.0,13.422001803426511,-0.050072235516561855,11,806,2,9,-0.6363636363636364
100,2245500,2246400,2246400,2247200,2245950.0,2246800.0,2246179.073482428,8.5,11.12779552715655,0.10113226668138804,17,2354,11,6,0.29411764705882354
101,2246400,2245000,2247200,2246800,2246800.0,2245900.0,2246430.0426136362,-9.0,11.262784090909092,-0.03878054047197376,11,596,3,8,-0.45454545454545453
102,2245000,2245600,2246800,2247200,2245900.0,2246400.0,2246205.24691358,5.0,13.024691358024691,0.22820826971638775,15,1134,11,4,0.4666666666666667
103,2245600,2242400,2246800,2244300,2246200.0,2243350.0,2244662.5922023184,-28.5,11.881981032665964,0.3161424098000037,26,3384,4,22,-0.6923076923076923
104,2242400,2241900,2244300,2243600,2243350.0,2242750.0,2242749.370503597,-6.0,14.526978417266188,0.5001502870115839,18,1246,3,15,-0.6666666666666666
105,2241900,2243100,2243600,2244000,2242750.0,2243550.0,2243328.9800995025,8.0,10.64676616915423,0.3656820668881983,9,954,6,3,0.3333333333333333
106,2243100,2245700,2244000,2246500,2243550.0,2246100.0,2245461.7987533393,25.5,14.963490650044523,0.04663006852548407,52,2855,50,2,0.9230769230769231
107,2245700,2244300,2246500,2245600,2246100.0,2244950.0,2245371.961102107,-11.5,9.056726094003242,0.1443553442609534,18,1280,3,15,-0.6666666666666666
108,2244300,2245400,2245600,2246500,2244950.0,2245950.0,2245680.501930502,10.0,9.62934362934363,0.1803864352339502,10,1191,9,1,0.8
109,2245400,2245100,2246500,2246500,2245950.0,2245800.0,2245818.326693227,-1.5,12.374501992031872,0.11711948856358088,0,0,0,0,
110,2245100,2246700,2246500,2248000,2245800.0,2247350.0,2247134.3236409607,15.5,13.434892541087232,0.04862196087705201,33,3401,19,14,0.15151515151515152
111,2246700,2246500,2248000,2248100,2247350.0,2247300.0,2246407.780320366,-0.5,12.755148741418765,0.1519225314911084,17,1615,8,9,-0.058823529411764705
112,2246500,2246200,2248400,2247700,2247450.0,2246950.0,2247096.7816091953,-5.0,17.28965517241379,-0.011741315113027192,6,730,3,3,0.0
113,2246200,2245200,2247700,2246100,2246950.0,2245650.0,2246104.2438271604,-13.0,14.223765432098766,0.09006793479067925,7,900,2,5,-0.42857142857142855
114,2245200,2243700,2246100,2245700,2245650.0,2244700.0,2245551.726973684,-9.5,15.65296052631579,0.10753231443680705,8,1170,6,2,0.5
115,2243700,2241500,2245700,2243100,2244700.0,2242300.0,2242514.1943734013,-24.0,14.029838022165388,0.3890192430602693,51,4205,13,38,-0.49019607843137253
116,2241500,2237300,2243100,2239500,2242300.0,2238400.0,2240214.630390144,-39.0,14.007186858316222,0.214375736082447,65,5066,0,65,-1.0
117,2237300,2235900,2239500,2237100,2238400.0,2236500.0,2236545.2710495964,-19.0,12.940023068050749,0.43231717884357684,33,1419,5,28,-0.696969696969697
118,2235900,2240500,2237200,2241800,2236550.0,2241150.0,2238544.4373401534,46.0,12.162404092071611,0.5786138977595024,33,2186,30,3,0.8181818181818182
119,2240500,2237900,2241800,2239600,2241150.0,2238750.0,2239763.286713287,-24.0,18.96853146853147,0.3140967479382937,17,648,0,17,-1.0
120,2237900,2236400,2239600,2238800,2238750.0,2237600.0,2238650.7425742573,-11.5,14.554455445544555,0.2531847650191251,18,2070,11,7,0.2222222222222222
121,2236400,2237000,2238800,2238000,2237600.0,2237500.0,2237588.4787472035,-1.0,19.43847874720358,0.21490865268473008,0,0,0,0,
122,2237000,2238700,2238000,2240500,2237500.0,2239600.0,2238548.0211081794,21.0,13.841688654353563,-0.04405450255257095,5,348,3,2,0.2
123,2238700,2238800,2240500,2239900,2239600.0,2239350.0,2239323.2683982686,-2.5,10.906926406926408,0.024544304736364268,1,95,0,1,-1.0
124,2238800,2239200,2239900,2239600,2239350.0,2239400.0,2239338.229755179,0.5,7.2580037664783426,0.10712282439201141,5,220,1,4,-0.6
125,2239200,2236600,2239600,2237600,2239400.0,2237100.0,2238274.1656365884,-23.0,10.365883807169345,0.17358360198682588,31,2003,7,24,-0.5483870967741935
126,2236600,2235000,2237600,2236800,2237100.0,2235900.0,2236832.1088435375,-12.0,14.492517006802721,0.3663097043115755,14,776,4,10,-0.42857142857142855
127,2235000,2233700,2236200,2235800,2235600.0,2234750.0,2235603.7924151695,-8.5,14.6187624750499,0.37725184231038733,35,1853,5,30,-0.7142857142857143
128,2233700,2233700,2235800,2235000,2234750.0,2234350.0,2234556.25,-4.0,13.668103448275861,0.3448282057755443,1,20,0,1,-1.0
129,2233700,2234700,2235000,2236700,2234350.0,2235700.0,2235370.9905660376,13.5,16.64622641509434,0.26386285475834903,6,538,4,2,0.3333333333333333
130,2234700,2232800,2236700,2235200,2235700.0,2234000.0,2233942.1641791044,-17.0,15.710820895522389,0.34233825012632935,28,1900,12,16,-0.14285714285714285
131,2232800,2234400,2235200,2235700,2234000.0,2235050.0,2234774.21875,10.5,17.20659722222222,-0.04350361967727323,5,223,4,1,0.6
132,2234400,2235200,2235700,2236200,2235050.0,2235700.0,2236158.4033613447,6.5,17.043697478991596,-0.061168087701170284,16,473,14,2,0.75
133,2235200,2233500,2236200,2234700,2235700.0,2234100.0,2234877.065217391,-16.0,18.610869565217392,-0.04567930920449341,14,553,0,14,-1.0
134,2233500,2233500,2234700,2235800,2234100.0,2234650.0,2234310.0737100737,5.5,15.808353808353809,-0.28447172177838176,18,1284,18,0,1.0
135,2233500,2233400,2235800,2235200,2234650.0,2234300.0,2234925.938009788,-3.5,17.399673735725937,-0.06149516415966659,9,750,4,5,-0.1111111111111111
136,2233400,2232500,2235200,2234000,2234300.0,2233250.0,2233415.0776053215,-10.5,16.239467849223946,0.22624760642623126,1,100,1,0,1.0
